,test,fname,workload,bpk,Z,ZD,N,fpr_monkey,fpr_binarysearch,fpr_scan,t_monkey,t_binarysearch,t_scan,zeroes
95,test10,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.0,3,1,1.33701e-10,1.33701e-10,1.33701e-10,0.0691373,5.35923e-05,5.0040900000000004e-05,0.0
96,test10,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.25,0,1,0.406738,0.406738,0.406738,0.0619112,7.84127e-05,8.60406e-05,18.0
97,test10,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.25,0,1,0.25150100000000003,0.25150100000000003,0.25150100000000003,0.07444529999999999,7.441340000000001e-05,6.76451e-05,0.0
98,test10,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.25,0,1,0.155554,0.155554,0.155554,0.0801111,7.55166e-05,6.79671e-05,0.0
99,test10,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.25,0,1,0.09621030000000001,0.09621030000000001,0.09621030000000001,0.07586989999999999,7.91502e-05,6.887399999999999e-05,0.0
100,test10,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.25,0,1,0.0595063,0.0595063,0.0595063,0.07685030000000001,7.56512e-05,6.65475e-05,0.0
101,test10,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.25,0,1,0.0368048,0.0368048,0.0368048,0.07760689999999999,7.43806e-05,6.56371e-05,0.0
102,test10,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.25,0,1,0.0227638,0.0227638,0.0227638,0.07439810000000001,7.41434e-05,6.57015e-05,0.0
103,test10,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.25,0,1,0.014079499999999998,0.014079499999999998,0.014079499999999998,0.07778099999999999,7.43338e-05,6.58754e-05,0.0
104,test10,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.25,3,1,0.30194499999999996,0.30194499999999996,0.30194499999999996,0.060768600000000006,8.16705e-05,9.31237e-05,21.0
105,test10,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.25,3,1,0.18062,0.18062,0.18062,0.06809370000000001,7.71123e-05,7.17704e-05,3.0
106,test10,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.25,3,1,0.11168800000000001,0.11168800000000001,0.11168800000000001,0.0710309,7.15557e-05,6.26196e-05,0.0
107,test10,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.25,3,1,0.0690796,0.0690796,0.0690796,0.07642189999999999,7.37124e-05,6.51539e-05,0.0
108,test10,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.25,3,1,0.042725900000000004,0.042725900000000004,0.042725900000000004,0.0797706,7.41211e-05,6.31253e-05,0.0
109,test10,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.25,3,1,0.026425999999999998,0.026425999999999998,0.026425999999999998,0.0736296,7.02591e-05,6.3399e-05,0.0
110,test10,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.25,3,1,0.0163446,0.0163446,0.0163446,0.0715048,7.07879e-05,6.24629e-05,0.0
111,test10,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.25,3,1,0.0101092,0.0101092,0.0101092,0.0762096,7.41101e-05,6.4965e-05,0.0
112,test10,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.5,0,1,0.327276,0.327276,0.327276,0.070952,7.59038e-05,6.786e-05,1.0
113,test10,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.5,0,1,0.202421,0.202421,0.202421,0.08377310000000002,7.54843e-05,6.64509e-05,0.0
114,test10,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.5,0,1,0.125198,0.125198,0.125198,0.08255499999999999,7.75622e-05,6.730109999999999e-05,0.0
115,test10,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.5,0,1,0.077435,0.077435,0.077435,0.08662710000000001,7.6869e-05,6.843e-05,0.0
